schema | table_name | column_name | data_type | is_nullable | column_default
saas_admin | administradores_saas | id_admin | integer | NO | nextval('saas_admin.administradores_saas_id_admin_seq'::regclass)
saas_admin | administradores_saas | nombre | character varying | NO | null
saas_admin | administradores_saas | email | character varying | NO | null
saas_admin | administradores_saas | contrasenia | character varying | NO | null
saas_admin | administradores_saas | id_rol_saas | integer | NO | null
saas_admin | administradores_saas | estado_cuenta | character varying | YES | 'Activo'::character varying
saas_admin | administradores_saas | fecha_creacion | timestamp without time zone | YES | CURRENT_TIMESTAMP
saas_admin | administradores_saas | ultimo_acceso | timestamp without time zone | YES | null
saas_admin | factura_estado_pago | id_estado_pago | integer | NO | nextval('saas_admin.factura_estado_pago_id_estado_pago_seq'::regclass)
saas_admin | factura_estado_pago | nombre_estado | character varying | NO | null
saas_admin | facturas_saas | id_factura | integer | NO | nextval('saas_admin.facturas_saas_id_factura_seq'::regclass)
saas_admin | facturas_saas | id_empresa | character varying | NO | null
saas_admin | facturas_saas | numero_factura | character varying | NO | null
saas_admin | facturas_saas | periodo_facturado | character varying | NO | null
saas_admin | facturas_saas | monto | numeric | NO | null
saas_admin | facturas_saas | moneda | character varying | YES | 'PEN'::character varying
saas_admin | facturas_saas | fecha_emision | date | NO | null
saas_admin | facturas_saas | fecha_vencimiento | date | YES | null
saas_admin | facturas_saas | id_estado_pago | integer | NO | 1
saas_admin | facturas_saas | fecha_pago | date | YES | null
saas_admin | facturas_saas | id_metodo_pago | integer | YES | null
saas_admin | facturas_saas | referencia_pago | character varying | YES | null
saas_admin | gasto_interno_categoria | id_categoria | integer | NO | nextval('saas_admin.gasto_interno_categoria_id_categoria_seq'::regclass)
saas_admin | gasto_interno_categoria | nombre_categoria | character varying | NO | null
saas_admin | gastos_internos_saas | id_gasto_interno | integer | NO | nextval('saas_admin.gastos_internos_saas_id_gasto_interno_seq'::regclass)
saas_admin | gastos_internos_saas | concepto | character varying | NO | null
saas_admin | gastos_internos_saas | id_categoria | integer | NO | null
saas_admin | gastos_internos_saas | monto | numeric | NO | null
saas_admin | gastos_internos_saas | moneda | character varying | YES | 'PEN'::character varying
saas_admin | gastos_internos_saas | fecha_gasto | date | NO | null
saas_admin | gastos_internos_saas | comprobante_nro | character varying | YES | null
saas_admin | gastos_internos_saas | descripcion | text | YES | null
saas_admin | gastos_internos_saas | fecha_registro | timestamp without time zone | YES | CURRENT_TIMESTAMP
saas_admin | metodo_pago | id_metodo_pago | integer | NO | nextval('saas_admin.metodo_pago_id_metodo_pago_seq'::regclass)
saas_admin | metodo_pago | nombre_metodo | character varying | NO | null
saas_admin | rol_saas | id_rol_saas | integer | NO | nextval('saas_admin.rol_saas_id_rol_saas_seq'::regclass)
saas_admin | rol_saas | nombre_rol | character varying | NO | null
saas_admin | rol_saas | descripcion | text | YES | null
security | rol | id_rol | integer | NO | nextval('security.rol_id_rol_seq'::regclass)
security | rol | nombre_rol | character varying | NO | null
security | rol | descripcion | text | YES | null
security | tipo_documento | id_tipo_documento | integer | NO | nextval('security.tipo_documento_id_tipo_documento_seq'::regclass)
security | tipo_documento | codigo | character varying | NO | null
security | tipo_documento | nombre | character varying | NO | null
security | usuario | id_user | integer | NO | nextval('security.usuario_id_user_seq'::regclass)
security | usuario | id_rol | integer | NO | null
security | usuario | contrasenia | character varying | NO | null
security | usuario | dni | character varying | NO | null
security | usuario | telefono | character varying | YES | null
security | usuario | email | character varying | NO | null
security | usuario | fecha_nacimiento | date | YES | null
security | usuario | id_usuario_estado | integer | YES | 1
security | usuario | id_empresa | character varying | NO | null
security | usuario | nombre | character varying | YES | null
security | usuario | ultimo_acceso | timestamp without time zone | YES | null
security | usuario_estado | id_usuario_estado | integer | NO | nextval('security.usuario_estado_id_usuario_estado_seq'::regclass)
security | usuario_estado | nombre_estado | character varying | NO | null
security | usuario_estado | descripcion | text | YES | null
